"Season","Team","Bat","BsR","Fld","Pos","Off","Def","Lg","Rep","RAR","WAR"
"2017","Blue Jays","-42.3","-2.0","-5.1","5.7","-44.4","0.6","3.5","33.3","-7.0","-0.7"
"2016","Royals","-31.2","6.3","4.5","2.0","-24.9","6.5","3.4","23.9","8.9","0.9"
"2014","Braves","-26.2","-2.2","-1.1","3.4","-28.4","2.3","1.7","24.1","-0.3","0.0"
"2014","White Sox","-23.6","-2.0","-2.2","2.7","-25.6","0.5","2.6","22.1","-0.5","-0.1"
"2015","Diamondbacks","-42.0","3.8","-5.0","4.1","-38.2","-0.9","1.8","30.4","-7.0","-0.7"
"2018","Brewers","-37.6","0.5","2.6","3.2","-37.0","5.8","1.6","28.9","-0.8","-0.1"
"2014","Cubs","-39.6","8.2","5.6","3.9","-31.5","9.5","2.5","35.1","15.7","1.7"
"2012","Mariners","-19.2","6.2","9.3","1.2","-12.9","10.6","2.9","19.7","20.2","2.1"
"2019","Tigers","-45.6","1.6","-1.9","0.4","-43.9","-1.4","4.2","33.0","-8.2","-0.8"
"2014","Orioles","-29.2","2.8","2.5","3.8","-26.4","6.3","2.9","25.0","7.8","0.9"
"2019","White Sox","-28.6","1.3","4.0","2.3","-27.4","6.2","2.8","22.4","4.0","0.4"
"2014","Rockies","-41.1","-0.8","6.3","3.2","-41.9","9.5","1.6","22.2","-8.6","-0.9"
"2015","Angels","-24.7","2.5","-0.4","2.7","-22.2","2.3","2.5","21.3","3.9","0.4"
"2017","Rangers","-36.3","1.9","-5.0","2.1","-34.4","-2.9","2.2","20.4","-14.7","-1.5"
"2012","Athletics","-38.5","6.1","-1.4","6.6","-32.4","5.3","4.6","32.0","9.5","1.0"
"2011","Padres","-30.1","3.9","2.2","3.6","-26.2","5.8","1.3","28.9","9.9","1.0"
"2015","Brewers","-38.4","4.3","-8.4","3.9","-34.1","-4.5","1.6","27.0","-10.0","-1.1"
"2013","Royals","-32.5","6.3","7.9","2.0","-26.2","9.9","3.1","23.0","9.8","1.1"
"2010","Mets","-35.7","3.7","-3.6","3.9","-32.0","0.3","0.5","24.6","-6.6","-0.7"
"2016","Angels","-34.5","-5.4","1.1","3.8","-39.9","4.9","3.7","26.1","-5.2","-0.5"
"2018","Dodgers","-24.2","2.0","-7.7","1.9","-22.2","-5.7","1.0","18.0","-9.0","-0.9"
"2014","Athletics","-33.2","-4.4","-1.4","-1.6","-37.6","-3.0","3.3","28.4","-8.9","-1.0"
"2012","Orioles","-37.9","-3.7","-6.8","2.2","-41.5","-4.6","3.4","23.1","-19.7","-2.1"
"2017","Angels","-37.4","-0.2","7.8","2.8","-37.6","10.6","2.4","23.1","-1.5","-0.1"
"2012","Tigers","-46.3","3.1","6.4","1.6","-43.2","8.0","3.6","25.0","-6.7","-0.7"
"2016","Athletics","-49.0","-5.5","-6.3","0.4","-54.5","-5.9","3.9","27.2","-29.3","-3.0"
"2014","Padres","-25.3","0.0","-4.1","2.1","-25.3","-2.0","1.1","15.8","-10.4","-1.1"
"2015","White Sox","-31.9","-2.3","3.6","1.5","-34.2","5.1","2.1","18.0","-8.9","-0.9"
"2013","Cubs","-37.7","-1.3","7.7","2.4","-39.0","10.2","0.9","18.5","-9.5","-1.0"
