"Season","Team","Bat","BsR","Fld","Pos","Off","Def","Lg","Rep","RAR","WAR"
"2016","Pirates","27.6","7.1","3.3","-8.0","34.7","-4.7","0.9","29.6","60.5","6.2"
"2019","Astros","25.9","2.0","4.5","-9.0","27.9","-4.5","3.2","25.4","52.1","5.1"
"2019","Mets","51.0","-4.5","-9.0","-9.0","46.5","-18.0","1.7","53.0","83.1","8.1"
"2015","Diamondbacks","24.6","6.4","6.8","-9.9","31.0","-3.1","1.9","32.3","62.1","6.6"
"2018","Red Sox","16.3","4.1","3.4","-6.0","20.5","-2.7","2.2","20.9","40.9","4.2"
"2014","Tigers","29.5","6.0","-3.1","-8.6","35.6","-11.8","3.3","28.2","55.3","6.1"
"2016","Marlins","22.8","1.9","6.9","-6.1","24.8","0.8","0.7","24.7","51.0","5.2"
"2015","Brewers","22.8","-1.8","-9.2","-7.7","20.9","-16.9","1.7","29.7","35.5","3.8"
"2019","Rays","18.2","0.6","0.2","-7.9","18.7","-7.7","2.6","20.7","34.4","3.3"
"2012","Reds","19.3","0.9","-3.8","-7.4","20.2","-11.1","0.7","27.9","37.6","3.9"
"2019","Yankees","35.0","7.5","2.9","-11.5","42.6","-8.6","6.1","48.5","88.6","8.6"
"2018","Nationals","14.3","-0.1","-3.9","-6.4","14.2","-10.3","1.2","21.7","26.8","2.8"
"2012","Athletics","38.2","4.1","4.2","-20.5","42.3","-16.2","6.2","42.9","75.1","7.9"
"2018","Dodgers","27.7","-2.2","-5.4","-8.7","25.5","-14.2","1.7","31.0","43.9","4.5"
"2011","Rangers","13.5","2.1","4.5","-9.1","15.6","-4.6","3.9","28.4","43.4","4.6"
"2010","Twins","10.9","-3.4","-8.9","-7.0","7.5","-15.9","3.6","19.0","14.2","1.5"
"2017","Astros","35.6","0.6","-4.6","-11.6","36.2","-16.2","4.9","45.9","70.7","7.0"
"2017","Twins","11.0","-0.1","1.4","-6.6","10.9","-5.3","2.0","19.0","26.7","2.7"
"2012","Twins","18.1","3.5","-0.7","-11.3","21.6","-12.0","3.8","26.3","39.7","4.2"
"2017","Phillies","16.8","-0.1","-7.3","-11.2","16.8","-18.5","2.5","39.9","40.7","4.0"
"2014","Blue Jays","17.5","-2.6","2.0","-7.9","14.8","-5.9","2.6","22.2","33.7","3.7"
"2014","Royals","13.6","7.1","16.5","-7.7","20.8","8.7","2.1","18.3","50.0","5.5"
"2013","Phillies","11.6","2.5","-6.2","-6.0","14.1","-12.2","0.8","16.3","19.0","2.0"
"2019","Dodgers","23.8","3.0","0.1","-8.7","26.7","-8.6","1.2","39.3","58.7","5.7"
"2010","Cubs","9.0","3.9","6.3","-9.2","12.9","-2.9","0.6","29.7","40.3","4.2"
"2018","Cubs","26.2","3.3","13.7","-9.4","29.5","4.3","2.4","44.8","80.9","8.3"
"2016","Brewers","10.7","-1.4","-5.3","-7.4","9.3","-12.8","0.7","24.6","21.9","2.2"
"2017","Dodgers","26.9","10.8","-0.4","-12.3","37.6","-12.7","3.1","50.2","78.3","7.8"
